[2025-07-30T22:59:40.397Z], Request Unstake, unknown, GDAMYCMTK74LNWYYIF7424ADR3QRQOKKNFVGLLRDOMUZ7AXY74OB4LIC
[2025-07-30T23:05:25.430Z], Deposit Liquidity, 207fbc400b02c354d362ebb189c62cb4d596da1392d3bd6ae3225aa9b8c66859, GDAMYCMTK74LNWYYIF7424ADR3QRQOKKNFVGLLRDOMUZ7AXY74OB4LIC
[2025-07-31T00:17:01.197Z], Stake, 2efed7e6d02a7e77e32656c42c49e1bc8a843a824af2c556ad088322c9218c44, GDAMYCMTK74LNWYYIF7424ADR3QRQOKKNFVGLLRDOMUZ7AXY74OB4LIC
[2025-07-31T00:18:31.803Z], Stake, 91485875d6f69d52aba15debfb56d1f6a9577133e223716001bafa17aec2981d, GDAMYCMTK74LNWYYIF7424ADR3QRQOKKNFVGLLRDOMUZ7AXY74OB4LIC
[2025-07-31T00:19:51.798Z], Stake, 1c0e5169c5a84309ac8d93490f3364ec5d5bc918ba8eb6bdb7386fcf3edf9154, GDAMYCMTK74LNWYYIF7424ADR3QRQOKKNFVGLLRDOMUZ7AXY74OB4LIC
[2025-07-31T00:21:36.293Z], Stake, 2d110f9b55a864b0e5f9b93222c1f38025e536d3c7661e70047094a644a474f1, GDAMYCMTK74LNWYYIF7424ADR3QRQOKKNFVGLLRDOMUZ7AXY74OB4LIC
[2025-07-31T00:32:11.156Z], Stake, 7f9d43a0d391ae7e26f24d7f98e2a53b2f0055e3d2af8c01630c4bef572419a9, GDAMYCMTK74LNWYYIF7424ADR3QRQOKKNFVGLLRDOMUZ7AXY74OB4LIC
[2025-07-31T02:39:40.484Z], Stake, 15a08dd4a9c51b540f0a5feef3c7f4338dadf5b3974dfcd0b6fdaa08d04101d8, GDAMYCMTK74LNWYYIF7424ADR3QRQOKKNFVGLLRDOMUZ7AXY74OB4LIC
[2025-07-31T02:48:27.876Z], Stake, 42e4854ad2cfe5f1994796a23fdf72ed0798771a192a8285fec8ef201e58d57b, GDAMYCMTK74LNWYYIF7424ADR3QRQOKKNFVGLLRDOMUZ7AXY74OB4LIC
[2025-08-26T19:09:45.638Z], Swap, 19c673aeccb888c2f5e11ff0944bae6890cab4b6e9ea721e42a8961299d4958b, GAQZH4JGQUJQ3M3KQJGQ2ZRGYNSF4GAEZHGOMQPEH5SIWOZDZZERW4Y5
[2025-08-27T01:00:51.673Z], Swap, 1d1be212905a23e26cca266c71eba1ed6e82e25954cde8bea7c4f6a9783f58db, GAQZH4JGQUJQ3M3KQJGQ2ZRGYNSF4GAEZHGOMQPEH5SIWOZDZZERW4Y5
[2025-08-27T01:05:43.556Z], Stake, 06d556e753bbbdc87d416f6dde21616b42b09d566c16417a98d028ab491cc262, GAQZH4JGQUJQ3M3KQJGQ2ZRGYNSF4GAEZHGOMQPEH5SIWOZDZZERW4Y5
[2025-08-28T13:31:47.861Z], Swap, b9bf0231e1c53c6b9295058bfce256fe0c8956f715575d34a6f569f5beec9592, GAQZH4JGQUJQ3M3KQJGQ2ZRGYNSF4GAEZHGOMQPEH5SIWOZDZZERW4Y5
[2025-08-28T13:34:27.436Z], Deposit Liquidity, cfab370521b18731d95fe257bf333a46b866fc06de04b9c8d6630a24af0a4312, GAQZH4JGQUJQ3M3KQJGQ2ZRGYNSF4GAEZHGOMQPEH5SIWOZDZZERW4Y5
[2025-08-28T13:49:33.262Z], Remove Liquidity, 2ade6a8f645cc2f95877a91d7940c9e5aa3351518555be7d5930fd0f39addc7c, GAQZH4JGQUJQ3M3KQJGQ2ZRGYNSF4GAEZHGOMQPEH5SIWOZDZZERW4Y5
